sentence	positive	neutral	negative
I am very sorry,' answered the Miller, 'but it is my new lantern, and it would be a great loss to me if anything happened to it.' 	0.11110061	0.43357334	0.45532602
Well, never mind, I will do without it,' cried little Hans, and he took down his great fur coat, and his warm scarlet cap, and tied a muffler round his throat, and started off. 	0.27574214	0.52749896	0.19675897
What a dreadful storm it was!	0.11110061	0.43357334	0.45532602
The night was so black that little Hans could hardly see, and the wind was so strong that he could scarcely stand. 	0.11110061	0.43357334	0.45532602
However, he was very courageous, and after he had been walking about three hours, he arrived at the Doctor's house, and knocked at the door. 	0.27574214	0.52749896	0.19675897
Who is there?' cried the Doctor, putting his head out of his bedroom window. 	0.27574214	0.52749896	0.19675897
Little Hans, Doctor.'	0.27574214	0.52749896	0.19675897
What do you want, little Hans?' 	0.27574214	0.52749896	0.19675897
The Miller's son has fallen from a ladder, and has hurt himself, and the Miller wants you to come at once.' 	0.11110061	0.43357334	0.45532602
All right!' said the Doctor; and he ordered his horse, and his big boots, and his lantern, and came downstairs, and rode off in the direction of the Miller's house, little Hans trudging behind him. 	0.27574214	0.52749896	0.19675897
But the storm grew worse and worse, and the rain fell in torrents, and little Hans could not see where he was going, or keep up with the horse.	0.11110061	0.43357334	0.45532602
At last he lost his way, and wandered off on the moor, which was a very dangerous place, as it was full of deep holes, and there poor little Hans was drowned. 	0.11110061	0.43357334	0.45532602
His body was found the next day by some goatherds, floating in a great pool of water, and was brought back by them to the cottage. 	0.27574214	0.52749896	0.19675897
Everybody went to little Hans' funeral, as he was so popular, and the Miller was the chief mourner. 	0.27574214	0.52749896	0.19675897
As I was his best friend,' said the Miller, 'it is only fair that I should have the best place'; so he walked at the head of the procession in a long black cloak, and every now and then he wiped his eyes with a big pocket-handkerchief. 	0.27574214	0.52749896	0.19675897
Little Hans is certainly a great loss to every one,' said the Blacksmith, when the funeral was over, and they were all seated comfortably in the inn, drinking spiced wine and eating sweet cakes.	0.11110061	0.43357334	0.45532602
A great loss to me at any rate,' answered the Miller; 'why, I had as good as given him my wheelbarrow, and now I really don't know what to do with it.	0.11110061	0.43357334	0.45532602
It is very much in my way at home, and it is in such bad repair that I could not get anything for it if I sold it. 	0.11110061	0.43357334	0.45532602
I will certainly take care not to give away anything again. 	0.27574214	0.52749896	0.19675897
One always suffers for being generous.'" 	0.11110061	0.43357334	0.45532602
Well? said the Water-rat, after a long pause. 	0.27574214	0.52749896	0.19675897
Well, that is the end, said the Linnet. 	0.27574214	0.52749896	0.19675897
But what became of the Miller? asked the Water-rat. 	0.27574214	0.52749896	0.19675897
Oh! I really don't know, replied the Linnet; "and I am sure that I don't care." 	0.27574214	0.52749896	0.19675897
It is quite evident then that you have no sympathy in your nature, said the Water-rat. 	0.11110061	0.43357334	0.45532602
I am afraid you don't quite see the moral of the story, remarked the Linnet. 	0.11110061	0.43357334	0.45532602
The what? screamed the Water-rat. 	0.11110061	0.43357334	0.45532602
The moral. 	0.27574214	0.52749896	0.19675897
Do you mean to say that the story has a moral? 	0.27574214	0.52749896	0.19675897
Certainly, said the Linnet. 	0.27574214	0.52749896	0.19675897
Well, really, said the Water-rat, in a very angry manner, "I think you should have told me that before you began. 	0.11110061	0.43357334	0.45532602
If you had done so, I certainly would not have listened to you; in fact, I should have said 'Pooh,' like the critic. 	0.11110061	0.43357334	0.45532602
However, I can say it now"; so he shouted out "Pooh" at the top of his voice, gave a whisk with his tail, and went back into his hole. 	0.27574214	0.52749896	0.19675897
And how do you like the Water-rat? asked the Duck, who came paddling up some minutes afterwards. 	0.27574214	0.52749896	0.19675897
He has a great many good points, but for my own part I have a mother's feelings, and I can never look at a confirmed bachelor without the tears coming into my eyes. 	0.11110061	0.43357334	0.45532602
I am rather afraid that I have annoyed him, answered the Linnet. 	0.11110061	0.43357334	0.45532602
The fact is, that I told him a story with a moral. 	0.27574214	0.52749896	0.19675897
Ah! that is always a very dangerous thing to do, said the Duck. 	0.11110061	0.43357334	0.45532602
And I quite agree with her. 	0.56479144	0.3808266	0.05438204
THE REMARKABLE ROCKET 	0.11110061	0.43357334	0.45532602
The King's son was going to be married, so there were general rejoicings. 	0.27574214	0.52749896	0.19675897
He had waited a whole year for his bride, and at last she had arrived. 	0.27574214	0.52749896	0.19675897
She was a Russian Princess, and had driven all the way from Finland in a sledge drawn by six reindeer. 	0.27574214	0.52749896	0.19675897
The sledge was shaped like a great golden swan, and between the swan's wings lay the little Princess herself. 	0.56479144	0.3808266	0.05438204
Her long ermine-cloak reached right down to her feet, on her head was a tiny cap of silver tissue, and she was as pale as the Snow Palace in which she had always lived. 	0.27574214	0.52749896	0.19675897
So pale was she that as she drove through the streets all the people wondered. 	0.11110061	0.43357334	0.45532602
She is like a white rose! they cried, and they threw down flowers on her from the balconies. 	0.27574214	0.52749896	0.19675897
At the gate of the Castle the Prince was waiting to receive her. 	0.27574214	0.52749896	0.19675897
He had dreamy violet eyes, and his hair was like fine gold. 	0.56479144	0.3808266	0.05438204
When he saw her he sank upon one knee, and kissed her hand. 	0.27574214	0.52749896	0.19675897
Your picture was beautiful, he murmured, "but you are more beautiful than your picture"; and the little Princess blushed. 	0.56479144	0.3808266	0.05438204
She was like a white rose before, said a young Page to his neighbour, "but she is like a red rose now"; and the whole Court was delighted. 	0.56479144	0.3808266	0.05438204
For the next three days everybody went about saying, "White rose, Red rose, Red rose, White rose"; and the King gave orders that the Page's salary was to be doubled. 	0.27574214	0.52749896	0.19675897
As he received no salary at all this was not of much use to him, but it was considered a great honour, and was duly published in the Court Gazette. 	0.56479144	0.3808266	0.05438204
When the three days were over the marriage was celebrated. 	0.56479144	0.3808266	0.05438204
It was a magnificent ceremony, and the bride and bridegroom walked hand in hand under a canopy of purple velvet embroidered with little pearls. 	0.56479144	0.3808266	0.05438204
Then there was a State Banquet, which lasted for five hours. 	0.27574214	0.52749896	0.19675897
The Prince and Princess sat at the top of the Great Hall and drank out of a cup of clear crystal. 	0.27574214	0.52749896	0.19675897
Only true lovers could drink out of this cup, for if false lips touched it, it grew grey and dull and cloudy. 	0.11110061	0.43357334	0.45532602
It's quite clear that they love each other, said the little Page, "as clear as crystal!" and the King doubled his salary a second time. 	0.56479144	0.3808266	0.05438204
What an honour! cried all the courtiers. 	0.56479144	0.3808266	0.05438204
After the banquet there was to be a Ball. 	0.27574214	0.52749896	0.19675897
The bride and bridegroom were to dance the Rose-dance together, and the King had promised to play the flute. 	0.27574214	0.52749896	0.19675897
He played very badly, but no one had ever dared to tell him so, because he was the King. 	0.11110061	0.43357334	0.45532602
Indeed, he knew only two airs, and was never quite certain which one he was playing; but it made no matter, for, whatever he did, everybody cried out, 	0.27574214	0.52749896	0.19675897
Charming! charming! 	0.56479144	0.3808266	0.05438204
The last item on the programme was a grand display of fireworks, to be let off exactly at midnight. 	0.27574214	0.52749896	0.19675897
The little Princess had never seen a firework in her life, so the King had given orders that the Royal Pyrotechnist should be in attendance on the day of her marriage. 	0.27574214	0.52749896	0.19675897
What are fireworks like? she had asked the Prince, one morning, as she was walking on the terrace. 	0.27574214	0.52749896	0.19675897
They are like the Aurora Borealis, said the King, who always answered questions that were addressed to other people, "only much more natural. 	0.27574214	0.52749896	0.19675897
I prefer them to stars myself, as you always know when they are going to appear, and they are as delightful as my own flute-playing. 	0.56479144	0.3808266	0.05438204
You must certainly see them." 	0.56479144	0.3808266	0.05438204
So at the end of the King's garden a great stand had been set up, and as soon as the Royal Pyrotechnist had put everything in its proper place, the fireworks began to talk to each other. 	0.27574214	0.52749896	0.19675897
The world is certainly very beautiful, cried a little Squib. 	0.56479144	0.3808266	0.05438204
Just look at those yellow tulips. 	0.56479144	0.3808266	0.05438204
Why! if they were real crackers they could not be lovelier. 	0.11110061	0.43357334	0.45532602
I am very glad I have travelled. 	0.56479144	0.3808266	0.05438204
Travel improves the mind wonderfully, and does away with all one's prejudices." 	0.56479144	0.3808266	0.05438204
The King's garden is not the world, you foolish squib, said a big Roman Candle; "the world is an enormous place, and it would take you three days to see it thoroughly." 	0.11110061	0.43357334	0.45532602
Any place you love is the world to you, exclaimed a pensive Catherine Wheel, who had been attached to an old deal box in early life, and prided herself on her broken heart; "but love is not fashionable any more, the poets have killed it. 	0.11110061	0.43357334	0.45532602
They wrote so much about it that nobody believed them, and I am not surprised. 	0.11110061	0.43357334	0.45532602
True love suffers, and is silent. 	0.11110061	0.43357334	0.45532602
I remember myself once--But it is no matter now. Romance is a thing of the past." 	0.27574214	0.52749896	0.19675897
Nonsense! said the Roman Candle, "Romance never dies. 	0.11110061	0.43357334	0.45532602
It is like the moon, and lives for ever. 	0.56479144	0.3808266	0.05438204
The bride and bridegroom, for instance, love each other very dearly. 	0.56479144	0.3808266	0.05438204
I heard all about them this morning from a brown-paper cartridge, who happened to be staying in the same drawer as myself, and knew the latest Court news." 	0.27574214	0.52749896	0.19675897
But the Catherine Wheel shook her head. 	0.11110061	0.43357334	0.45532602
Romance is dead, Romance is dead, Romance is dead, she murmured. 	0.11110061	0.43357334	0.45532602
She was one of those people who think that, if you say the same thing over and over a great many times, it becomes true in the end. 	0.27574214	0.52749896	0.19675897
Suddenly, a sharp, dry cough was heard, and they all looked round. 	0.11110061	0.43357334	0.45532602
It came from a tall, supercilious-looking Rocket, who was tied to the end of a long stick. 	0.27574214	0.52749896	0.19675897
He always coughed before he made any observation, so as to attract attention. 	0.27574214	0.52749896	0.19675897
Ahem! ahem! he said, and everybody listened except the poor Catherine Wheel, who was still shaking her head, and murmuring, "Romance is dead." 	0.11110061	0.43357334	0.45532602
Order! order! cried out a Cracker. 	0.11110061	0.43357334	0.45532602
He was something of a politician, and had always taken a prominent part in the local elections, so he knew the proper Parliamentary expressions to use. 	0.27574214	0.52749896	0.19675897
Quite dead, whispered the Catherine Wheel, and she went off to sleep. 	0.11110061	0.43357334	0.45532602
As soon as there was perfect silence, the Rocket coughed a third time and began. 	0.27574214	0.52749896	0.19675897
He spoke with a very slow, distinct voice, as if he was dictating his memoirs, and always looked over the shoulder of the person to whom he was talking. 	0.27574214	0.52749896	0.19675897
In fact, he had a most distinguished manner. 	0.56479144	0.3808266	0.05438204
How fortunate it is for the King's son, he remarked, "that he is to be married on the very day on which I am to be let off. 	0.56479144	0.3808266	0.05438204
Really, if it had been arranged beforehand, it could not have turned out better for him; but, Princes are always lucky." 	0.56479144	0.3808266	0.05438204
Dear me! said the little Squib, "I thought it was quite the other way, and that we were to be let off in the Prince's honour." 	0.56479144	0.3808266	0.05438204
It may be so with you, he answered; "indeed, I have no doubt that it is, but with me it is different. 	0.27574214	0.52749896	0.19675897
I am a very remarkable Rocket, and come of remarkable parents. 	0.56479144	0.3808266	0.05438204
My mother was the most celebrated Catherine Wheel of her day, and was renowned for her graceful dancing. 	0.56479144	0.3808266	0.05438204
When she made her great public appearance she spun round nineteen times before she went out, and each time that she did so she threw into the air seven pink stars. 	0.27574214	0.52749896	0.19675897
She was three feet and a half in diameter, and made of the very best gunpowder. 	0.56479144	0.3808266	0.05438204
My father was a Rocket like myself, and of French extraction. 	0.27574214	0.52749896	0.19675897
He flew so high that the people were afraid that he would never come down again. 	0.11110061	0.43357334	0.45532602
He did, though, for he was of a kindly disposition, and he made a most brilliant descent in a shower of golden rain. 	0.56479144	0.3808266	0.05438204
The newspapers wrote about his performance in very flattering terms. 	0.56479144	0.3808266	0.05438204
Indeed, the Court Gazette called him a triumph of Pylotechnic art." 	0.56479144	0.3808266	0.05438204
Pyrotechnic, Pyrotechnic, you mean, said a Bengal Light; "I know it is Pyrotechnic, for I saw it written on my own canister." 	0.27574214	0.52749896	0.19675897
Well, I said Pylotechnic, answered the Rocket, in a severe tone of voice, and the Bengal Light felt so crushed that he began at once to bully the little squibs, in order to show that he was still a person of some importance. 	0.11110061	0.43357334	0.45532602
I was saying, continued the Rocket, "I was saying--What was I saying?" 	0.27574214	0.52749896	0.19675897
You were talking about yourself, replied the Roman Candle. 	0.27574214	0.52749896	0.19675897
Of course; I knew I was discussing some interesting subject when I was so rudely interrupted. 	0.11110061	0.43357334	0.45532602
I hate rudeness and bad manners of every kind, for I am extremely sensitive. 	0.11110061	0.43357334	0.45532602
No one in the whole world is so sensitive as I am, I am quite sure of that." 	0.11110061	0.43357334	0.45532602
What is a sensitive person? said the Cracker to the Roman Candle. 	0.11110061	0.43357334	0.45532602
A person who, because he has corns himself, always treads on other people's toes, answered the Roman Candle in a low whisper; and the Cracker nearly exploded with laughter. 	0.56479144	0.3808266	0.05438204
Pray, what are you laughing at? inquired the Rocket; "I am not laughing." 	0.11110061	0.43357334	0.45532602
I am laughing because I am happy, replied the Cracker. 	0.56479144	0.3808266	0.05438204
That is a very selfish reason, said the Rocket angrily. 	0.11110061	0.43357334	0.45532602
What right have you to be happy? 	0.27574214	0.52749896	0.19675897
You should be thinking about others. 	0.27574214	0.52749896	0.19675897
In fact, you should be thinking about me. 	0.27574214	0.52749896	0.19675897
I am always thinking about myself, and I expect everybody else to do the same. 	0.27574214	0.52749896	0.19675897
That is what is called sympathy. 	0.27574214	0.52749896	0.19675897
It is a beautiful virtue, and I possess it in a high degree. 	0.56479144	0.3808266	0.05438204
Suppose, for instance, anything happened to me to-night, what a misfortune that would be for every one! 	0.11110061	0.43357334	0.45532602
The Prince and Princess would never be happy again, their whole married life would be spoiled; and as for the King, I know he would not get over it. 	0.11110061	0.43357334	0.45532602
Really, when I begin to reflect on the importance of my position, I am almost moved to tears." 	0.11110061	0.43357334	0.45532602
If you want to give pleasure to others, cried the Roman Candle, 	0.56479144	0.3808266	0.05438204
you had better keep yourself dry. 	0.11110061	0.43357334	0.45532602
Certainly, exclaimed the Bengal Light, who was now in better spirits; "that is only common sense." 	0.56479144	0.3808266	0.05438204
Common sense, indeed! said the Rocket indignantly; "you forget that I am very uncommon, and very remarkable. 	0.56479144	0.3808266	0.05438204
Why, anybody can have common sense, provided that they have no imagination. 	0.11110061	0.43357334	0.45532602
But I have imagination, for I never think of things as they really are; I always think of them as being quite different. 	0.27574214	0.52749896	0.19675897
As for keeping myself dry, there is evidently no one here who can at all appreciate an emotional nature. 	0.11110061	0.43357334	0.45532602
Fortunately for myself, I don't care. 	0.27574214	0.52749896	0.19675897
The only thing that sustains one through life is the consciousness of the immense inferiority of everybody else, and this is a feeling that I have always cultivated. 	0.56479144	0.3808266	0.05438204
But none of you have any hearts. 	0.11110061	0.43357334	0.45532602
Here you are laughing and making merry just as if the Prince and Princess had not just been married." 	0.56479144	0.3808266	0.05438204
Well, really, exclaimed a small Fire-balloon, "why not? It is a most joyful occasion, and when I soar up into the air I intend to tell the stars all about it. 	0.56479144	0.3808266	0.05438204
You will see them twinkle when I talk to them about the pretty bride." 	0.56479144	0.3808266	0.05438204
Ah! what a trivial view of life! said the Rocket; "but it is only what I expected. 	0.56479144	0.3808266	0.05438204
There is nothing in you; you are hollow and empty. 	0.11110061	0.43357334	0.45532602
Why, perhaps the Prince and Princess may go to live in a country where there is a deep river, and perhaps they may have one only son, a little fair-haired boy with violet eyes like the Prince himself; and perhaps some day he may go out to walk with his nurse; and perhaps the nurse may go to sleep under a great elder-tree; and perhaps the little boy may fall into the deep river and be drowned. 	0.56479144	0.3808266	0.05438204
What a terrible misfortune! Poor people, to lose their only son! It is really too dreadful! I shall never get over it." 	0.11110061	0.43357334	0.45532602
But they have not lost their only son, said the Roman Candle; "no misfortune has happened to them at all." 	0.11110061	0.43357334	0.45532602
I never said that they had, replied the Rocket; "I said that they might. 	0.27574214	0.52749896	0.19675897
If they had lost their only son there would be no use in saying anything more about the matter. 	0.11110061	0.43357334	0.45532602
I hate people who cry over spilt milk. 	0.11110061	0.43357334	0.45532602
But when I think that they might lose their only son, I certainly am very much affected." 	0.11110061	0.43357334	0.45532602
You certainly are! cried the Bengal Light. 	0.56479144	0.3808266	0.05438204
In fact, you are the most affected person I ever met. 	0.11110061	0.43357334	0.45532602
You are the rudest person I ever met, said the Rocket, "and you cannot understand my friendship for the Prince." 	0.11110061	0.43357334	0.45532602
Why, you don't even know him, growled the Roman Candle. 	0.11110061	0.43357334	0.45532602
I never said I knew him, answered the Rocket. 	0.27574214	0.52749896	0.19675897
I dare say that if I knew him I should not be his friend at all.	0.11110061	0.43357334	0.45532602
It is a very dangerous thing to know one's friends." 	0.11110061	0.43357334	0.45532602
You had really better keep yourself dry, said the Fire-balloon. 	0.11110061	0.43357334	0.45532602
That is the important thing. 	0.27574214	0.52749896	0.19675897
Very important for you, I have no doubt, answered the Rocket, "but I shall weep if I choose"; and he actually burst into real tears, which flowed down his stick like rain-drops, and nearly drowned two little beetles, who were just thinking of setting up house together, and were looking for a nice dry spot to live in. 	0.27574214	0.52749896	0.19675897
He must have a truly romantic nature, said the Catherine Wheel, "for he weeps when there is nothing at all to weep about"; and she heaved a deep sigh, and thought about the deal box. 	0.27574214	0.52749896	0.19675897
But the Roman Candle and the Bengal Light were quite indignant, and kept saying, "Humbug! humbug!" at the top of their voices. 	0.11110061	0.43357334	0.45532602
They were extremely practical, and whenever they objected to anything they called it humbug. 	0.56479144	0.3808266	0.05438204
Then the moon rose like a wonderful silver shield; and the stars began to shine, and a sound of music came from the palace. 	0.56479144	0.3808266	0.05438204
The Prince and Princess were leading the dance. 	0.27574214	0.52749896	0.19675897
They danced so beautifully that the tall white lilies peeped in at the window and watched them, and the great red poppies nodded their heads and beat time. 	0.56479144	0.3808266	0.05438204
Then ten o'clock struck, and then eleven, and then twelve, and at the last stroke of midnight every one came out on the terrace, and the King sent for the Royal Pyrotechnist. 	0.27574214	0.52749896	0.19675897
Let the fireworks begin, said the King; and the Royal Pyrotechnist made a low bow, and marched down to the end of the garden. 	0.27574214	0.52749896	0.19675897
He had six attendants with him, each of whom carried a lighted torch at the end of a long pole. 	0.27574214	0.52749896	0.19675897
It was certainly a magnificent display. 	0.56479144	0.3808266	0.05438204
Whizz! Whizz! went the Catherine Wheel, as she spun round and round. 	0.56479144	0.3808266	0.05438204
Boom! Boom! went the Roman Candle. 	0.56479144	0.3808266	0.05438204
Then the Squibs danced all over the place, and the Bengal Lights made everything look scarlet. 	0.27574214	0.52749896	0.19675897
Good-bye, cried the Fire-balloon, as he soared away, dropping tiny blue sparks. 	0.56479144	0.3808266	0.05438204
Bang! Bang! answered the Crackers, who were enjoying themselves immensely. 	0.56479144	0.3808266	0.05438204
Every one was a great success except the Remarkable Rocket. 	0.56479144	0.3808266	0.05438204
He was so damp with crying that he could not go off at all. 	0.11110061	0.43357334	0.45532602
The best thing in him was the gunpowder, and that was so wet with tears that it was of no use. 	0.11110061	0.43357334	0.45532602
All his poor relations, to whom he would never speak, except with a sneer, shot up into the sky like wonderful golden flowers with blossoms of fire. 	0.11110061	0.43357334	0.45532602
Huzza! Huzza! cried the Court; and the little Princess laughed with pleasure. 	0.56479144	0.3808266	0.05438204
I suppose they are reserving me for some grand occasion, said the Rocket; "no doubt that is what it means," and he looked more supercilious than ever. 	0.56479144	0.3808266	0.05438204
The next day the workmen came to put everything tidy. 	0.27574214	0.52749896	0.19675897
This is evidently a deputation, said the Rocket; "I will receive them with becoming dignity" so he put his nose in the air, and began to frown severely as if he were thinking about some very important subject. 	0.11110061	0.43357334	0.45532602
But they took no notice of him at all till they were just going away. 	0.11110061	0.43357334	0.45532602
Then one of them caught sight of him. 	0.27574214	0.52749896	0.19675897
Hallo! he cried, "what a bad rocket!" and he threw him over the wall into the ditch. 	0.11110061	0.43357334	0.45532602
BAD Rocket? BAD Rocket? he said, as he whirled through the air; "impossible! GRAND Rocket, that is what the man said. 	0.11110061	0.43357334	0.45532602
BAD and GRAND sound very much the same, indeed they often are the same"; and he fell into the mud. 	0.11110061	0.43357334	0.45532602
It is not comfortable here, he remarked, "but no doubt it is some fashionable watering-place, and they have sent me away to recruit my health. 	0.11110061	0.43357334	0.45532602
My nerves are certainly very much shattered, and I require rest." 	0.11110061	0.43357334	0.45532602
Then a little Frog, with bright jewelled eyes, and a green mottled coat, swam up to him. 	0.27574214	0.52749896	0.19675897
A new arrival, I see! said the Frog. 	0.56479144	0.3808266	0.05438204
Well, after all there is nothing like mud. 	0.27574214	0.52749896	0.19675897
Give me rainy weather and a ditch, and I am quite happy. 	0.56479144	0.3808266	0.05438204
Do you think it will be a wet afternoon? 	0.27574214	0.52749896	0.19675897
I am sure I hope so, but the sky is quite blue and cloudless. 	0.11110061	0.43357334	0.45532602
What a pity!" 	0.11110061	0.43357334	0.45532602
Ahem! ahem! said the Rocket, and he began to cough. 	0.56479144	0.3808266	0.05438204
What a delightful voice you have! cried the Frog. 	0.56479144	0.3808266	0.05438204
Really it is quite like a croak, and croaking is of course the most musical sound in the world. 	0.11110061	0.43357334	0.45532602
You will hear our glee-club this evening. 	0.56479144	0.3808266	0.05438204
We sit in the old duck pond close by the farmer's house, and as soon as the moon rises we begin. 	0.27574214	0.52749896	0.19675897
It is so entrancing that everybody lies awake to listen to us. 	0.11110061	0.43357334	0.45532602
In fact, it was only yesterday that I heard the farmer's wife say to her mother that she could not get a wink of sleep at night on account of us. 	0.11110061	0.43357334	0.45532602
It is most gratifying to find oneself so popular." 	0.56479144	0.3808266	0.05438204
Ahem! ahem! said the Rocket angrily. 	0.56479144	0.3808266	0.05438204
He was very much annoyed that he could not get a word in. 	0.11110061	0.43357334	0.45532602
A delightful voice, certainly, continued the Frog; "I hope you will come over to the duck-pond. 	0.56479144	0.3808266	0.05438204
I am off to look for my daughters. 	0.27574214	0.52749896	0.19675897
I have six beautiful daughters, and I am so afraid the Pike may meet them. 	0.11110061	0.43357334	0.45532602
He is a perfect monster, and would have no hesitation in breakfasting off them. 	0.11110061	0.43357334	0.45532602
Well, good-bye: I have enjoyed our conversation very much, I assure you." 	0.56479144	0.3808266	0.05438204
Conversation, indeed! said the Rocket. 	0.27574214	0.52749896	0.19675897
You have talked the whole time yourself. 	0.11110061	0.43357334	0.45532602
That is not conversation." 	0.27574214	0.52749896	0.19675897
Somebody must listen, answered the Frog, "and I like to do all the talking myself. 	0.56479144	0.3808266	0.05438204
It saves time, and prevents arguments." 	0.56479144	0.3808266	0.05438204
But I like arguments, said the Rocket. 	0.56479144	0.3808266	0.05438204
I hope not, said the Frog complacently. 	0.11110061	0.43357334	0.45532602
Arguments are extremely vulgar, for everybody in good society holds exactly the same opinions. 	0.11110061	0.43357334	0.45532602
Good-bye a second time; I see my daughters in the distance and the little Frog swam away. 	0.11110061	0.43357334	0.45532602
You are a very irritating person, said the Rocket, "and very illbred. 	0.11110061	0.43357334	0.45532602
I hate people who talk about themselves, as you do, when one wants to talk about oneself, as I do. 	0.11110061	0.43357334	0.45532602
It is what I call selfishness, and selfishness is a most detestable thing, especially to any one of my temperament, for I am well known for my sympathetic nature. 	0.11110061	0.43357334	0.45532602
In fact, you should take example by me; you could not possibly have a better model. 	0.56479144	0.3808266	0.05438204
Now that you have the chance you had better avail yourself of it, for I am going back to Court almost immediately. 	0.56479144	0.3808266	0.05438204
I am a great favourite at Court; in fact, the Prince and Princess were married yesterday in my honour. 	0.56479144	0.3808266	0.05438204
Of course you know nothing of these matters, for you are a provincial." 	0.11110061	0.43357334	0.45532602
There is no good talking to him, said a Dragon-fly, who was sitting on the top of a large brown bulrush; "no good at all, for he has gone away." 	0.11110061	0.43357334	0.45532602
Well, that is his loss, not mine, answered the Rocket. 	0.11110061	0.43357334	0.45532602
I am not going to stop talking to him merely because he pays no attention. > negative > [0.11110061 0.43357334 0.45532602]	0.11110061	0.43357334	0.45532602
I like hearing myself talk. 	0.56479144	0.3808266	0.05438204
It is one of my greatest pleasures. 	0.56479144	0.3808266	0.05438204
I often have long conversations all by myself, and I am so clever that sometimes I don't understand a single word of what I am saying." 	0.27574214	0.52749896	0.19675897
Then you should certainly lecture on Philosophy, said the Dragonfly; and he spread a pair of lovely gauze wings and soared away into the sky. 	0.56479144	0.3808266	0.05438204
How very silly of him not to stay here! said the Rocket. 	0.11110061	0.43357334	0.45532602
I am sure that he has not often got such a chance of improving his mind. 	0.11110061	0.43357334	0.45532602
However, I don't care a bit. 	0.27574214	0.52749896	0.19675897
Genius like mine is sure to be appreciated some day"; and he sank down a little deeper into the mud. 	0.56479144	0.3808266	0.05438204
After some time a large White Duck swam up to him. 	0.27574214	0.52749896	0.19675897
She had yellow legs, and webbed feet, and was considered a great beauty on account of her waddle. 	0.56479144	0.3808266	0.05438204
Quack, quack, quack, she said. 	0.11110061	0.43357334	0.45532602
What a curious shape you are! 	0.56479144	0.3808266	0.05438204
May I ask were you born like that, or is it the result of an accident?" 	0.27574214	0.52749896	0.19675897
It is quite evident that you have always lived in the country, answered the Rocket, "otherwise you would know who I am. 	0.27574214	0.52749896	0.19675897
However, I excuse your ignorance. 	0.11110061	0.43357334	0.45532602
It would be unfair to expect other people to be as remarkable as oneself. 	0.11110061	0.43357334	0.45532602
You will no doubt be surprised to hear that I can fly up into the sky, and come down in a shower of golden rain." 	0.56479144	0.3808266	0.05438204
I don't think much of that, said the Duck, "as I cannot see what use it is to any one. 	0.11110061	0.43357334	0.45532602
Now, if you could plough the fields like the ox, or draw a cart like the horse, or look after the sheep like the collie-dog, that would be something." 	0.27574214	0.52749896	0.19675897
My good creature, cried the Rocket in a very haughty tone of voice, "I see that you belong to the lower orders. 	0.56479144	0.3808266	0.05438204
A person of my position is never useful. 	0.11110061	0.43357334	0.45532602
We have certain accomplishments, and that is more than sufficient. 	0.56479144	0.3808266	0.05438204
I have no sympathy myself with industry of any kind, least of all with such industries as you seem to recommend. 	0.11110061	0.43357334	0.45532602
Indeed, I have always been of opinion that hard work is simply the refuge of people who have nothing whatever to do." 	0.27574214	0.52749896	0.19675897
Well, well, said the Duck, who was of a very peaceable disposition, and never quarrelled with any one, "everybody has different tastes. 	0.27574214	0.52749896	0.19675897
I hope, at any rate, that you are going to take up your residence here." 	0.56479144	0.3808266	0.05438204
Oh! dear no, cried the Rocket. 	0.11110061	0.43357334	0.45532602
I am merely a visitor, a distinguished visitor. 	0.56479144	0.3808266	0.05438204
The fact is that I find this place rather tedious. 	0.11110061	0.43357334	0.45532602
There is neither society here, nor solitude. 	0.11110061	0.43357334	0.45532602
In fact, it is essentially suburban. 	0.27574214	0.52749896	0.19675897
I shall probably go back to Court, for I know that I am destined to make a sensation in the world." 	0.56479144	0.3808266	0.05438204
I had thoughts of entering public life once myself, remarked the Duck; "there are so many things that need reforming. 	0.27574214	0.52749896	0.19675897
Indeed, I took the chair at a meeting some time ago, and we passed resolutions condemning everything that we did not like. 	0.27574214	0.52749896	0.19675897
However, they did not seem to have much effect. 	0.11110061	0.43357334	0.45532602
Now I go in for domesticity, and look after my family." 	0.27574214	0.52749896	0.19675897
I am made for public life, said the Rocket, "and so are all my relations, even the humblest of them. 	0.27574214	0.52749896	0.19675897
Whenever we appear we excite great attention. 	0.56479144	0.3808266	0.05438204
I have not actually appeared myself, but when I do so it will be a magnificent sight. 	0.56479144	0.3808266	0.05438204
As for domesticity, it ages one rapidly, and distracts one's mind from higher things." 	0.27574214	0.52749896	0.19675897
Ah! the higher things of life, how fine they are! said the Duck; "and that reminds me how hungry I feel": and she swam away down the stream, saying, "Quack, quack, quack." 	0.56479144	0.3808266	0.05438204
Come back! come back! screamed the Rocket, "I have a great deal to say to you"; but the Duck paid no attention to him. 	0.27574214	0.52749896	0.19675897
I am glad that she has gone, he said to himself, "she has a decidedly middle-class mind"; and he sank a little deeper still into the mud, and began to think about the loneliness of genius, when suddenly two little boys in white smocks came running down the bank, with a kettle and some faggots. 	0.11110061	0.43357334	0.45532602
This must be the deputation, said the Rocket, and he tried to look very dignified. 	0.11110061	0.43357334	0.45532602
Hallo! cried one of the boys, "look at this old stick! I wonder how it came here"; and he picked the rocket out of the ditch. 	0.56479144	0.3808266	0.05438204
OLD Stick! said the Rocket, "impossible! GOLD Stick, that is what he said. 	0.27574214	0.52749896	0.19675897
